fingerprint,card_count,example_card_id,signal_id,direction,variables,expression,qualitative_excerpt
d7840f35bfe85022,1,agriculture__water_scarcity__rainfed_risk__014,sig_02,confirms,cropping_intensity,mean_cropping_intensity <= 1.15,"Mean cropping intensity at or below 1.15 across the multi-year record confirms that the vast majority of net sown area is harvested only once per year, consistent with single-seaso"
9def887aac6cf7fc,1,agriculture__water_scarcity__rainfed_risk__014,sig_03,confirms,"canal_name, nrega_irrigation_count",canal_name is None and nrega_irrigation_count < 3,"No irrigation canal intersects the micro-watershed AND fewer than 3 MGNREGA irrigation works have been constructed, confirming absence of both formal surface irrigation and communi"
14d6279c98db1a4a,1,agriculture__water_scarcity__rainfed_risk__014,sig_04,amplifies,"runoff_mm, terrain_cluster_id",mean_annual_runoff_mm > 80 and terrain_cluster_id == 3,"Mean annual runoff exceeds 80 mm on broad plains and slopes (terrain cluster 3), indicating significant water loss from the landscape that could otherwise be harvested for suppleme"
3815515afc8d27e7,1,agriculture__water_scarcity__rainfed_risk__014,sig_05,confirms,swb_rabi_area_ha,mean_swb_rabi_kharif_ratio < 0.25,"Surface water body area in rabi season is less than 25% of kharif season area on average, indicating that surface water storage does not persist into the post-monsoon period and ca"
58a74df3bee0c795,1,agriculture__water_scarcity__rainfed_risk__015,sig_02,confirms,cropping_intensity,mean_cropping_intensity <= 1.15,"Mean cropping intensity at or below 1.15 across the multi-year record indicates that the vast majority of net sown area is harvested only once per year, consistent with single-seas"
d0c1e6006b8cfbf7,1,agriculture__water_scarcity__rainfed_risk__015,sig_03,amplifies,"runoff_mm, terrain_cluster_id",mean_annual_runoff_mm > 1200 and terrain_cluster_id == 3,"High mean annual runoff (>1200 mm) combined with broad plains and slopes terrain (cluster 3) indicates rapid lateral drainage of rainfall, reducing in-field moisture retention and "
cc3ee9d29c2d7e57,1,agriculture__water_scarcity__rainfed_risk__015,sig_04,confirms,"canal_name, nrega_irrigation_count",canal_name is None and nrega_irrigation_count < 3,"No irrigation canal intersects the micro-watershed and fewer than 3 MGNREGA irrigation works have been constructed, confirming absence of both formal surface irrigation and communi"
8fd61d3893bfa9f5,1,agriculture__water_scarcity__rainfed_risk__015,sig_05,confirms,swb_rabi_area_ha,mean_swb_rabi_kharif_ratio < 0.15,"Mean ratio of surface water body area in rabi season to kharif season below 0.15 indicates that surface water bodies largely dry up after the monsoon, confirming limited post-monso"
31ef6e4feb81cd96,1,agriculture__water_scarcity__rainfed_risk__016,sig_01,confirms,"cropping_intensity, lulc_single_kharif_ha, lulc_double_crop_ha",mean_cropping_intensity <= 1.15 and (mean_kharif_cropped_area_ha / (mean_double_crop_area_ha + mean_kharif_cropped_area_ha + 1e-9)) > 0.80,Mean cropping intensity at or below 1.15 combined with over 80% of cropped area under single kharif season indicates near-total rainfed dependence with no meaningful rabi or irriga
32be2e7b0b0a05ca,2,agriculture__water_scarcity__rainfed_risk__016,sig_02,confirms,"canal_name, nrega_irrigation_count",canal_name is None and nrega_irrigation_count < 3,"No irrigation canal intersects the micro-watershed and fewer than 3 MGNREGA irrigation works have been recorded, confirming absence of surface irrigation infrastructure."
bc9d7f5c1736e8b0,1,agriculture__water_scarcity__rainfed_risk__016,sig_03,amplifies,"runoff_mm, terrain_cluster_id",terrain_cluster_id == 3 and mean_annual_runoff_mm > 40,Broad plains and slopes terrain (cluster 3) combined with mean annual runoff exceeding 40 mm indicates that a significant fraction of the scarce precipitation is lost as surface ru
caba55c0c411164b,1,agriculture__water_scarcity__rainfed_risk__016,sig_04,confirms,swb_rabi_area_ha,mean_swb_rabi_kharif_ratio < 0.15,"Mean ratio of surface water body area in rabi to kharif season below 0.15 indicates that surface water storage does not persist into the post-monsoon period, confirming absence of "
c584267fec59a545,1,agriculture__water_scarcity__rainfed_risk__017,sig_01,confirms,"lulc_single_kharif_ha, lulc_double_crop_ha",(lulc_single_kharif_ha[-1] / (lulc_single_kharif_ha[-1] + lulc_double_crop_ha[-1] + 1e-9)) > 0.75,"More than 75% of cropped area is under single kharif season only, indicating near-total dependence on monsoon rainfall with negligible double-cropping."
80174c9a97473afe,1,agriculture__water_scarcity__rainfed_risk__017,sig_02,confirms,cropping_intensity,mean_cropping_intensity <= 1.15,"Mean cropping intensity at or below 1.15 across the multi-year record confirms that the vast majority of cultivated land is harvested only once per year, consistent with rainfed si"
b1303e5c0afc9c0b,1,agriculture__water_scarcity__rainfed_risk__017,sig_04,amplifies,"runoff_mm, terrain_cluster_id",mean_annual_runoff_mm > 600 and terrain_cluster_id == 1,"High mean annual runoff (>600 mm) on mostly plains terrain (cluster 1) indicates substantial harvestable water that is currently lost, representing an untapped in-situ water harves"
6c1bc633c25b1633,1,agriculture__water_scarcity__rainfed_risk__017,sig_05,confirms,swb_rabi_area_ha,swb_rabi_area_ha[-1] < 10,"Surface water body area persisting into the rabi season is negligible (<10 ha), indicating that monsoon-season water storage does not carry over to support post-monsoon cropping."
a55cca59b407497e,7,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Cumulative forest-to-farm conversion has increased by more than 50 ha over the available record, indicating active encroachment of forest land for agriculture."
0d2209856ff118b8,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_02,amplifies,cd_urbanization_ha,cd_urbanization_ha > 20,"Total urbanized or settled area has expanded by more than 20 ha over the record period, potentially encroaching on forest fringes."
9bc122510e75bfac,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_03,confirms,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating high dependence on forest resources and elevated risk of forest rights disputes."
39d292952b460d8d,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_04,confirms,"cd_forest_to_farm_ha, village_st_percent",cd_forest_to_farm_ha > 30 and village_st_percent > 25,Moderate-to-high forest-to-farm conversion (>30 ha net increase) co-occurring with high ST population share (>25%) indicates encroachment directly threatening NTFP-dependent tribal
51bb5e9d8d67d8e9,15,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_05,confirms,fra_claims_filed_count,,Many pending or rejected FRA claims with reported NTFP decline and forest conversion indicate tenure insecurity confirming encroachment vulnerability; high recognition weakens encr
4cdb2ca7be59e34e,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__001,sig_06,confirms,forest_patch_connectivity,,Community reports forest fragmentation — patches separated by fields or roads that were contiguous 10–15 years ago — corroborating encroachment-driven access loss.
86cea7f9c3bab630,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 100,"Forest-to-farm conversion area has increased over the observation period, indicating progressive encroachment of agricultural activity into forest land."
c8df2ce95c92a518,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 50,"Total urbanized area has expanded by more than 50 ha over the observation period, suggesting settlement encroachment into forest margins."
929588f7524b65cf,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,sig_03,confirms,village_st_percent,village_st_percent > 30 and cd_forest_to_farm_ha > 100,"Village has a high Scheduled Tribe population (>30%) coinciding with measurable forest-to-farm conversion, indicating that forest rights disputes or displacement may be driving NTF"
fb2a5262db9a6ed3,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 100 and terrain_cluster_id != 1,"Forest-to-farm conversion exceeds 100 ha over the record period in non-plains terrain, indicating substantial encroachment pressure in hilly or plateau landscapes where forest acce"
408740bba130a23a,12,ntfp_forest_biodiversity__ntfp_decline__encroachment__002,sig_06,confirms,ntfp_collection_trend_qualitative,,Collectors report NTFP decline attributed to shrinking forest area or blocked/restricted access (not merely lower density inside intact forest). Decline greater than 25–50% increas
86425a30274824d9,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Forest-to-farm conversion area has increased over the available record, indicating progressive encroachment of forest land for agriculture."
0f7283f086726b86,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,sig_02,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Latest year forest-to-farm conversion exceeds 50 ha, indicating substantial ongoing encroachment pressure on remaining forest patches."
6914ac06a76ef648,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,sig_03,amplifies,cd_urbanization_ha,cd_urbanization_ha > 20,"Total urbanized area has grown by more than 20 ha over the record period, indicating settlement expansion that may be encroaching on forest fringes."
825e5af8173c5063,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,sig_04,amplifies,village_st_percent,village_st_percent > 10,"Scheduled Tribe population exceeds 10% of village population, indicating a community with historically high NTFP dependence and potential forest rights claims under FRA."
b7f64ccfa2e43c64,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__003,sig_05,confirms,"cd_forest_to_farm_ha, village_st_percent",(cd_forest_to_farm_ha > 50) and (village_st_percent > 10) and (cd_urbanization_ha > 20),"Simultaneous forest-to-farm conversion trend, significant ST population, and urbanization growth together constitute a high-confidence composite signal for encroachment-driven NTFP"
b3ac347db77d1725,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Cumulative forest-to-farm conversion has increased by more than 50 ha over the available record, indicating sustained encroachment pressure on forest land."
775e948c15eb96ff,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Total urbanized area has expanded by more than 20 ha over the record period, suggesting settlement encroachment that may be displacing forest cover or blocking community access rou"
97c2926cd80a60bb,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,sig_03,amplifies,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating high dependence on forest resources and elevated risk of livelihood impact from encroachment-driven access "
e91ae1f5e5db61b5,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__004,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 30 and cd_urbanization_ha > 10,"Both agricultural conversion and settlement expansion are simultaneously increasing, indicating compound encroachment pressure from multiple land use change vectors."
4bc5ff2afa9f0e56,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 30,"Forest-to-farm conversion area has increased over the observation period, indicating active encroachment of forest land for agriculture."
d1a068f07c30f3e9,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,sig_02,amplifies,cd_urbanization_ha,cd_urbanization_ha > 50,"Total urbanized area has grown by more than 50 ha over the observation period, suggesting settlement expansion that may be encroaching on forest land."
b1f7c5a5bd121cac,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,sig_03,confirms,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating high dependence on forest resources and elevated risk of NTFP access loss from encroachment-related tenure "
6c8055b67e3a7706,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__005,sig_04,confirms,"cd_forest_to_farm_ha, village_st_percent",(cd_forest_to_farm_ha > 30) and (village_st_percent > 25) and (cd_urbanization_ha > 50),"Concurrent forest-to-farm conversion increase, high ST population share, and settlement expansion together constitute a strong composite signal of encroachment-driven NTFP decline."
d5733c985e328d03,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__006,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 30,"Settlement footprint has expanded by more than 30 ha over the record period, suggesting encroachment of forest fringes for habitation in addition to agricultural conversion."
65e17c0d6213d6e8,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__006,sig_03,amplifies,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating a community with historically high forest dependence whose NTFP access rights may be contested or unrecogni"
a39c6a5e93a1214b,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__006,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 20 and cd_urbanization_ha > 15 and village_st_percent > 15,"Both agricultural conversion and settlement expansion are occurring simultaneously in a village with significant ST population, indicating compound encroachment pressure on forest-"
7b9281664a66c58c,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__007,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Settlement footprint has expanded by more than 20 ha over the record period, suggesting forest land is being absorbed into habitation areas."
83c1fd4ca6d027fe,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__007,sig_03,confirms,village_st_percent,village_st_percent > 40 and cd_forest_to_farm_ha > 30,Villages with more than 40% Scheduled Tribe population co-occurring with measurable forest-to-farm conversion signal potential Forest Rights Act tenure disputes or displacement of 
ae9237c08178ed8f,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__007,sig_04,amplifies,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 30 and terrain_cluster_id != 1,Forest-to-farm conversion exceeding 30 ha in non-plains terrain (plateau or hilly) amplifies NTFP access loss because hilly and plateau forest patches are more isolated and harder 
2f66ed65e968a431,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__008,sig_02,amplifies,cd_urbanization_ha,cd_urbanization_ha > 20,"Settlement footprint has expanded by more than 20 ha over the record period, suggesting forest fringe areas are being converted to habitation."
d2c5fcc22b22ca12,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__008,sig_03,confirms,village_st_percent,village_st_percent > 40 and cd_forest_to_farm_ha > 30,"Village has a high Scheduled Tribe population (>40%) combined with measurable forest-to-farm conversion, indicating that encroachment is occurring in areas where forest-dependent c"
d7882fb38e9ab9d6,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__008,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",(cd_forest_to_farm_ha + cd_urbanization_ha) > 50.0,"Combined forest-to-farm and urbanization area has grown by more than 15% relative to the baseline year, indicating broad-front encroachment pressure on forest extent."
bd8377c3981bee6d,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__009,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 10,"Cumulative forest-to-farm conversion has increased by more than 10 ha over the available record, indicating active encroachment of forest land for agriculture."
8bb127ea4049a3a4,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__009,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 5,"Total urbanized or settled area has expanded by more than 5 ha over the record period, suggesting settlement encroachment into forest margins."
a1a15275b04c3e85,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__009,sig_03,amplifies,village_st_percent,village_st_percent > 15,"Scheduled Tribe population exceeds 15% of village population, indicating a community with historically high forest dependence and potential Forest Rights Act tenure disputes."
052f01514d253338,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__009,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 10 and cd_urbanization_ha > 5 and village_st_percent > 15,"All three primary encroachment indicators are simultaneously elevated: forest-to-farm conversion >10 ha, settlement expansion >5 ha, and ST population >15%. This composite pattern "
67e990c1b1af71ec,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Total urbanized or settled area has expanded by more than 20 ha over the record period, suggesting settlement encroachment into or adjacent to forest land."
9ed8fb5b3aa8ee09,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,sig_03,amplifies,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating high dependence on forest resources and elevated vulnerability to encroachment-driven access loss."
38bb38fc84786dce,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,sig_04,confirms,"cd_forest_to_farm_ha, village_st_percent",cd_forest_to_farm_ha > 30 and village_st_percent > 25,"Moderate-to-high forest-to-farm conversion co-occurs with a high ST population share, indicating that encroachment is likely displacing forest-dependent tribal communities from NTF"
bd8a88b060f32d73,2,ntfp_forest_biodiversity__ntfp_decline__encroachment__010,sig_06,confirms,forest_boundary_demarcation_status,,"Absent or disputed forest boundary demarcation (no pillars/signage, active boundary disputes) is a precondition for encroachment; clear demarcation with no disputes weakens the pat"
3602287ae08b5eb3,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__011,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Settlement footprint has expanded by more than 20 ha over the record period, indicating encroachment pressure from habitation expansion into forest fringes."
a39f30971026dc29,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__011,sig_03,confirms,village_st_percent,village_st_percent > 25 and cd_forest_to_farm_ha > 30,"Village has a significant Scheduled Tribe population (>25%) coinciding with measurable forest-to-farm conversion, suggesting forest rights disputes or displacement of traditional N"
9a9f4d2a3b213f7f,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__011,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 30 and cd_urbanization_ha > 10 and terrain_cluster_id != 1,"Both forest-to-farm conversion and settlement expansion are occurring simultaneously in non-plains terrain, indicating compound encroachment pressure on hilly forest landscapes."
f62fc86bafc4bf58,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__012,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Settlement footprint has expanded by more than 20 ha over the record period, suggesting encroachment of forest fringes for habitation."
1dfc64f34fa55993,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__012,sig_03,confirms,village_st_percent,(village_st_percent > 40) and cd_forest_to_farm_ha > 30,"Village has a high Scheduled Tribe population (>40%) combined with measurable forest-to-farm conversion, indicating that forest-dependent indigenous communities are likely experien"
7b9e0d98e934eb2a,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__012,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",(cd_forest_to_farm_ha > 50) and (cd_urbanization_ha > 20) and (terrain_cluster_id != 1),"Both agricultural and settlement encroachment are increasing simultaneously in non-plains terrain, indicating compound pressure on forest extent from multiple encroachment vectors."
448f4ccbdb3d995e,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__013,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Cumulative forest-to-farm conversion has increased by more than 50 ha over the observation period, indicating active encroachment of forest land for agriculture."
a31092d04759a4d0,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__013,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 20,"Settlement footprint has expanded by more than 20 ha over the observation period, indicating forest land conversion for habitation in addition to agriculture."
a22e865240f22758,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__013,sig_03,confirms,village_st_percent,village_st_percent > 40 and cd_forest_to_farm_ha > 30,Villages with high Scheduled Tribe population (>40%) co-occurring with measurable forest-to-farm conversion indicate communities with strong NTFP dependence facing encroachment-dri
d81dc17d709fd020,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__013,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",cd_forest_to_farm_ha > 30 and cd_urbanization_ha > 10 and terrain_cluster_id != 1,"Both agricultural and settlement encroachment are increasing in non-plains terrain, indicating compound land-use pressure on hilly forest areas typical of AER-17."
04ceb8ade043aade,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__014,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 30,"Cumulative forest-to-farm conversion area has increased over the observation period, indicating active encroachment of forest land for agriculture."
9d277b1f11edb9d5,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__014,sig_02,amplifies,cd_urbanization_ha,cd_urbanization_ha > 50,"Total urbanization area has grown by more than 50 ha over the observation period, suggesting settlement expansion that may be encroaching on forest margins."
95cef3eda9004919,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__014,sig_03,confirms,village_st_percent,(village_st_percent > 25) and (cd_forest_to_farm_ha > 30),"Village has a high Scheduled Tribe population (>25%) coinciding with measurable forest-to-farm conversion, suggesting that encroachment may be displacing or restricting access for "
a3f5a5f5d27d00cf,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__014,sig_04,amplifies,village_st_percent,village_st_percent > 40,"Villages with ST population exceeding 40% are likely to have significant NTFP dependency, making any forest loss disproportionately impactful on livelihoods."
09469607dfb69ff7,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__015,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"More than 50 ha of forest has been converted to farmland in the micro-watershed, indicating measurable encroachment pressure on forest extent."
575a593f63b4fe92,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__015,sig_02,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 20,"Forest-to-farm conversion exceeds 20 ha, and when assessed over multiple periods shows a continuing or accelerating trend of forest loss at the landscape scale."
d94bdee0139cd1c0,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__015,sig_03,amplifies,cd_urbanization_ha,cd_urbanization_ha > 30,"More than 30 ha of new settlement or built-up area has expanded into or adjacent to forest zones, indicating settlement-driven encroachment pressure."
431fa830ba94833b,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__015,sig_04,confirms,village_st_percent,(village_st_percent > 25) and (cd_forest_to_farm_ha > 20),Villages with more than 25% Scheduled Tribe population combined with measurable forest-to-farm conversion may indicate unresolved Forest Rights Act tenure disputes or displacement 
5bff183655cc1c86,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__015,sig_05,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",(cd_forest_to_farm_ha + cd_urbanization_ha) > 100,"Combined forest-to-farm and urbanization conversion exceeds 100 ha, indicating that cumulative land use change has substantially reduced forest extent available for NTFP collection"
cfa6b9ef9bb86ba8,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__016,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 30,"Forest-to-farm conversion area has increased over the available record, indicating progressive encroachment of forest land for agriculture."
6b2871e49a8b5a9d,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__016,sig_02,confirms,cd_urbanization_ha,cd_urbanization_ha > 5,"Settlement footprint has expanded by more than 5 ha over the available record, suggesting built-up encroachment into forest margins."
e5838edcd5b63b74,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__016,sig_03,amplifies,village_st_percent,village_st_percent > 25,"Scheduled Tribe population exceeds 25% of village population, indicating high dependence on forest resources and potential vulnerability to forest rights disputes."
b9ce45e935ce78b3,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__016,sig_04,confirms,"cd_forest_to_farm_ha, cd_urbanization_ha",(cd_forest_to_farm_ha > 30) and (cd_urbanization_ha > 5) and (village_st_percent > 25),Both agricultural and settlement encroachment are increasing while ST population share is high — a compound signal of encroachment-driven NTFP access loss.
f0e33d2d2e0b7786,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__017,sig_01,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"More than 50 ha of forest has been converted to farmland, indicating measurable encroachment reducing NTFP-bearing forest extent."
b61bf1d4a9f8a3e5,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__017,sig_02,confirms,cd_forest_to_farm_ha,cd_forest_to_farm_ha > 50,"Forest-to-farm conversion area has increased over the observation period (2017–2024), indicating ongoing and accelerating encroachment pressure."
f417dacbb4c661b3,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__017,sig_03,amplifies,cd_urbanization_ha,cd_urbanization_ha > 20,"More than 20 ha of forest-adjacent land has been converted to settlement or built-up use, indicating settlement-driven encroachment into forest margins."
be76d2f7ac600ff5,1,ntfp_forest_biodiversity__ntfp_decline__encroachment__017,sig_04,confirms,village_st_percent,(village_st_percent > 25) and (cd_forest_to_farm_ha > 50),"Village has a substantial Scheduled Tribe population (>25%) coinciding with ongoing forest-to-farm conversion, suggesting forest rights disputes or displacement of NTFP-dependent c"
49fe6082f9550f5b,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,sig_01,confirms,lulc_tree_forest_ha,lulc_tree_forest_ha[-1] < lulc_tree_forest_ha[0],"Total forest/tree cover area in the micro-watershed is lower in the most recent year (2024) than in the baseline year (2017), indicating net forest loss over the monitoring period."
f9e000cea298ec46,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,sig_02,confirms,"cd_total_deforestation_ha, cd_afforestation_ha",cd_total_deforestation_ha > 0 and (cd_afforestation_ha == 0 or (cd_total_deforestation_ha / (cd_afforestation_ha + 1e-9)) > 2.0),"Cumulative deforestation exceeds zero and is more than double cumulative afforestation, indicating a net forest deficit with weak recovery capacity."
e7080dd8250a6f92,2,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,sig_03,confirms,cd_total_deforestation_ha,cd_total_deforestation_ha > 50,"More than 50 hectares of cumulative deforestation recorded in the micro-watershed, representing a significant absolute loss of forest habitat."
bb231a59107596aa,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,sig_04,amplifies,organization_domains,'Agroforestry' not in organization_domains and 'Forest' not in organization_domains and 'NTFP' not in organization_domains,"No NGO or organisation active in the micro-watershed has a domain focus on agroforestry, forest management, or NTFP support, indicating an absence of institutional support for fore"
82f500e64418d065,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__001,sig_05,confirms,ntfp_species_presence,,"Field surveys or community reports indicate reduced abundance, fruiting failure, or local disappearance of key NTFP species such as mahua (Madhuca indica), tendu (Diospyros melanox"
ef1d3e877830632f,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_01,confirms,lulc_tree_forest_ha,lulc_tree_forest_ha[-1] < lulc_tree_forest_ha[0] and (lulc_tree_forest_ha[0] - lulc_tree_forest_ha[-1]) / (lulc_tree_forest_ha[0] + 1e-9) > 0.05,"Forest area has declined by more than 5% from the earliest to the latest year in the 2017–2024 record, indicating meaningful net loss of tree cover."
c63beea6f4284369,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_02,confirms,"cd_total_deforestation_ha, cd_afforestation_ha",cd_total_deforestation_ha > 50 and (cd_afforestation_ha / (cd_total_deforestation_ha + 1e-9)) < 0.5,"Cumulative deforestation exceeds 50 ha and afforestation covers less than half the deforested area, indicating a net deficit in forest recovery."
d9a93be66a12a815,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_03,confirms,cd_total_deforestation_ha,cd_total_deforestation_ha > 100,"Total deforested area in the micro-watershed exceeds 100 ha, representing a substantial absolute loss of NTFP habitat."
6620d526763a156c,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_04,amplifies,organization_domains,'Agroforestry' not in organization_domains and 'Forest management' not in organization_domains and 'NTFP' not in organization_domains,"No NGO or organisation active in the micro-watershed has agroforestry, forest management, or NTFP as a domain of work, indicating an absence of institutional support for forest and"
faace9174dbe7a6f,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_05,confirms,ntfp_species_presence,,"Field surveys or community reports indicate declining abundance or local disappearance of key NTFP species such as Madhuca indica, Terminalia chebula, Buchanania lanzan, Diospyros "
96c12da31766f1a7,4,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__002,sig_06,confirms,forest_fire_frequency,,"Frequent or intensifying forest fires (annual or every few years, worsening trend) damaging NTFP species and suppressing regeneration."
0140569ff5e3ff23,1,ntfp_forest_biodiversity__ntfp_decline__forest_degradation__003,sig_01,confirms,lulc_tree_forest_ha,lulc_tree_forest_ha[-1] < lulc_tree_forest_ha[0],"Total forest and tree cover area in the micro-watershed has declined from 2017 to the latest available year, indicating net loss of NTFP-bearing habitat."
