card_id,note_excerpt,draft_note
socio_economic__low_income__small_landholding__005,Diagnosis of low income driven by small landholding requires convergence of at least two primary signals: low per-capita cropland (sig_01) and low cropping intensity (sig_02). These confirm that the productive base is structurally insuffici,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km), sig_04 (dist_dairy_km, organization_domains, nrega_community_assets_count), sig_06 (market_price_crop). Follow-up variables"
socio_economic__low_income__small_landholding__006,"Diagnosis of low income driven by small landholding in coastal sub-humid plains should be confirmed by at least two of the three primary signals: low per-capita cropland (sig_01), low cropping intensity combined with small land base (sig_02","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity, lulc_cropland_ha, village_total_population). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (nrega_community_assets_count, organization_domains)"
socio_economic__low_income__small_landholding__008,"Diagnosis of the small landholding pathway in AER-11 (eastern plateau, sub-humid, hard rock) should be confirmed by at least two of the three primary signals: low per-capita cropland ratio (sig_01), persistently low cropping intensity (sig_","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity), sig_03 (dist_apmc_km, dist_dairy_km). Amplifying signals (do not alone confirm): sig_04 (organization_domains, nrega_community_assets_count), sig_07 (market_price_crop). Follow-up variables"
socio_economic__low_income__small_landholding__009,"Diagnosis of low income driven by small landholding requires at least two of the three primary signals to be active: low per-capita cropland ratio (sig_01), low cropping intensity (sig_02), or the composite diversification absence signal (s","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_04 (dist_dairy_km, organization_domains, nrega_community_assets_count). Amplifying signals (do not alone confirm): sig_02 (cropping_intensity), sig_03 (dist_apmc_km), sig_07 (market_price_crop). Follow-up variables"
socio_economic__low_income__small_landholding__010,Diagnosis of low income driven by small landholding in the Bengal-Assam alluvial plains requires convergence of at least two primary signals: low per-capita cropland (sig_01) and suppressed cropping intensity relative to agro-climatic poten,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km), sig_04 (nrega_community_assets_count, organization_domains), sig_05 (dist_dairy_km), sig_07 (market_price_crop). Follow-up "
socio_economic__low_income__small_landholding__011,"Diagnosis of the small landholding pathway as the primary driver of low income in AER-14 hilly sub-humid terrain requires convergence of at least two primary signals: low per-capita cropland (sig_01) and low cropping intensity (sig_02), ide","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity), sig_03 (dist_apmc_km, dist_dairy_km). Amplifying signals (do not alone confirm): sig_04 (nrega_community_assets_count, organization_domains), sig_07 (market_price_crop). Follow-up variables"
socio_economic__low_income__small_landholding__012,Diagnosis of the small_landholding pathway as the cause of low_income in perhumid NE hill states should be confirmed by at least two primary signals: low per-capita cropland (sig_01) and either low cropping intensity (sig_02) or high market,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_05 (landholding_size_distribution), sig_07 (market_price_crop). Required: sig_01 (lulc_cropland_ha, village_total_population) must be TRUE. Amplifying signals (do not alone confirm): sig_02 (cropping_intensity), si"
socio_economic__low_income__small_landholding__013,Diagnosis of the small_landholding pathway as the driver of low_income in AER-17 perhumid hilly terrain requires convergence of at least two primary signals: low per-capita cropland (sig_01) and low or stagnant cropping intensity (sig_02). ,"Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (mean_cropping_intensity, cropping_intensity). Amplifying signals (do not alone confirm): sig_04 (nrega_community_assets_count, organization_domains), sig_06 (market_price_crop). Follow-up variables for field ev"
socio_economic__low_income__small_landholding__014,"Diagnosis of the small_landholding pathway as driver of low_income in semi-arid Malwa and Gujarat should be confirmed by at least two of the three primary signals: low per-capita cropland (sig_01), low cropping intensity (sig_02), and remot","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_05 (landholding_size_distribution). Amplifying signals (do not alone confirm): sig_02 (cropping_intensity), sig_03 (dist_apmc_km, dist_dairy_km), sig_04 (organization_domains, nrega_community_assets_count), sig_07 "
socio_economic__low_income__small_landholding__016,"In the cold arid Ladakh context, the small landholding pathway to low income operates through three compounding mechanisms: (1) absolute land scarcity on valley floors limits total production volume, (2) a short frost-free season prevents d","Pathway small_landholding confirmation policy (auto-generated summary). Confirm when at least 2 of the primary signals co-occur: sig_01 (lulc_cropland_ha, village_total_population), sig_02 (cropping_intensity). Amplifying signals (do not alone confirm): sig_03 (dist_apmc_km), sig_04 (nrega_community_assets_count, organization_domains), sig_05 (dist_dairy_km), sig_07 (market_price_crop). Follow-up "
